attack,attacker_seed,knowledge,method,mse,path,target_seed
gan,20125,inference,capacity_matched,0.04045947980109869,results/dual_path_supplementary/capacity_matched/attacks/target_seed128/attacker_seed20125/gan_inference/attack_metrics.json,128
gan,30125,inference,capacity_matched,0.040262154747285325,results/dual_path_supplementary/capacity_matched/attacks/target_seed128/attacker_seed30125/gan_inference/attack_metrics.json,128
decoder,10125,training,capacity_matched,0.02640026309590118,results/dual_path_supplementary/capacity_matched/attacks/target_seed129/attacker_seed10125/decoder_training/attack_metrics.json,129
decoder,20125,training,capacity_matched,0.026340119722301065,results/dual_path_supplementary/capacity_matched/attacks/target_seed129/attacker_seed20125/decoder_training/attack_metrics.json,129
decoder,30125,training,capacity_matched,0.0268085215376781,results/dual_path_supplementary/capacity_matched/attacks/target_seed129/attacker_seed30125/decoder_training/attack_metrics.json,129
decoder,10125,inference,capacity_matched,0.03658446869178402,results/dual_path_supplementary/capacity_matched/attacks/target_seed129/attacker_seed10125/decoder_inference/attack_metrics.json,129
decoder,20125,inference,capacity_matched,0.03577630128926548,results/dual_path_supplementary/capacity_matched/attacks/target_seed129/attacker_seed20125/decoder_inference/attack_metrics.json,129
decoder,30125,inference,capacity_matched,0.037161226911302525,results/dual_path_supplementary/capacity_matched/attacks/target_seed129/attacker_seed30125/decoder_inference/attack_metrics.json,129
gan,10125,training,capacity_matched,0.028881481857035814,results/dual_path_supplementary/capacity_matched/attacks/target_seed129/attacker_seed10125/gan_training/attack_metrics.json,129
gan,20125,training,capacity_matched,0.029632892740639027,results/dual_path_supplementary/capacity_matched/attacks/target_seed129/attacker_seed20125/gan_training/attack_metrics.json,129
gan,30125,training,capacity_matched,0.03357898161439701,results/dual_path_supplementary/capacity_matched/attacks/target_seed129/attacker_seed30125/gan_training/attack_metrics.json,129
gan,10125,inference,capacity_matched,0.03983382613407455,results/dual_path_supplementary/capacity_matched/attacks/target_seed129/attacker_seed10125/gan_inference/attack_metrics.json,129
gan,20125,inference,capacity_matched,0.0396079018631745,results/dual_path_supplementary/capacity_matched/attacks/target_seed129/attacker_seed20125/gan_inference/attack_metrics.json,129
gan,30125,inference,capacity_matched,0.038635370637748315,results/dual_path_supplementary/capacity_matched/attacks/target_seed129/attacker_seed30125/gan_inference/attack_metrics.json,129
decoder,10125,training,capacity_matched,0.02646137297680542,results/dual_path_supplementary/capacity_matched/attacks/target_seed130/attacker_seed10125/decoder_training/attack_metrics.json,130
decoder,20125,training,capacity_matched,0.026323741236726674,results/dual_path_supplementary/capacity_matched/attacks/target_seed130/attacker_seed20125/decoder_training/attack_metrics.json,130
decoder,30125,training,capacity_matched,0.02698731306927427,results/dual_path_supplementary/capacity_matched/attacks/target_seed130/attacker_seed30125/decoder_training/attack_metrics.json,130
decoder,10125,inference,capacity_matched,0.036780009735906186,results/dual_path_supplementary/capacity_matched/attacks/target_seed130/attacker_seed10125/decoder_inference/attack_metrics.json,130
decoder,20125,inference,capacity_matched,0.03715856888369471,results/dual_path_supplementary/capacity_matched/attacks/target_seed130/attacker_seed20125/decoder_inference/attack_metrics.json,130
decoder,30125,inference,capacity_matched,0.0385308533654569,results/dual_path_supplementary/capacity_matched/attacks/target_seed130/attacker_seed30125/decoder_inference/attack_metrics.json,130
gan,10125,training,capacity_matched,0.028700977304906672,results/dual_path_supplementary/capacity_matched/attacks/target_seed130/attacker_seed10125/gan_training/attack_metrics.json,130
gan,20125,training,capacity_matched,0.031078609912407393,results/dual_path_supplementary/capacity_matched/attacks/target_seed130/attacker_seed20125/gan_training/attack_metrics.json,130
gan,30125,training,capacity_matched,0.030342714367624157,results/dual_path_supplementary/capacity_matched/attacks/target_seed130/attacker_seed30125/gan_training/attack_metrics.json,130
gan,10125,inference,capacity_matched,0.04180541269773699,results/dual_path_supplementary/capacity_matched/attacks/target_seed130/attacker_seed10125/gan_inference/attack_metrics.json,130
gan,20125,inference,capacity_matched,0.04323343096374089,results/dual_path_supplementary/capacity_matched/attacks/target_seed130/attacker_seed20125/gan_inference/attack_metrics.json,130
gan,30125,inference,capacity_matched,0.04038102558890703,results/dual_path_supplementary/capacity_matched/attacks/target_seed130/attacker_seed30125/gan_inference/attack_metrics.json,130
decoder,10125,training,resnet18,0.026128288343840955,results/dual_path_supplementary/resnet18/attacks/target_seed126/attacker_seed10125/decoder_training/attack_metrics.json,126
decoder,20125,training,resnet18,0.02550541339861068,results/dual_path_supplementary/resnet18/attacks/target_seed126/attacker_seed20125/decoder_training/attack_metrics.json,126
decoder,30125,training,resnet18,0.02602511515575205,results/dual_path_supplementary/resnet18/attacks/target_seed126/attacker_seed30125/decoder_training/attack_metrics.json,126
decoder,10125,inference,resnet18,0.03929513266125122,results/dual_path_supplementary/resnet18/attacks/target_seed126/attacker_seed10125/decoder_inference/attack_metrics.json,126
decoder,20125,inference,resnet18,0.038855823945595364,results/dual_path_supplementary/resnet18/attacks/target_seed126/attacker_seed20125/decoder_inference/attack_metrics.json,126
decoder,30125,inference,resnet18,0.03849134268991941,results/dual_path_supplementary/resnet18/attacks/target_seed126/attacker_seed30125/decoder_inference/attack_metrics.json,126
gan,10125,training,resnet18,0.027715721152370504,results/dual_path_supplementary/resnet18/attacks/target_seed126/attacker_seed10125/gan_training/attack_metrics.json,126
gan,20125,training,resnet18,0.03124805448239512,results/dual_path_supplementary/resnet18/attacks/target_seed126/attacker_seed20125/gan_training/attack_metrics.json,126
gan,30125,training,resnet18,0.028966825918617822,results/dual_path_supplementary/resnet18/attacks/target_seed126/attacker_seed30125/gan_training/attack_metrics.json,126
gan,10125,inference,resnet18,0.044659603917662966,results/dual_path_supplementary/resnet18/attacks/target_seed126/attacker_seed10125/gan_inference/attack_metrics.json,126
gan,20125,inference,resnet18,0.04386172724100514,results/dual_path_supplementary/resnet18/attacks/target_seed126/attacker_seed20125/gan_inference/attack_metrics.json,126
